,time,temp,humid,CO2
6,2018-03-13T06:54:44.954Z,2980,2935,859
6,2018-03-13T06:55:02.453Z,2982,2839,913
6,2018-03-14T08:31:04.873Z,3032,2007,516
6,2018-03-14T08:31:22.547Z,3047,1975,536
6,2018-03-14T08:45:07.184Z,3150,1917,515
6,2018-03-14T08:45:24.877Z,3132,1904,556
6,2018-03-14T08:59:16.099Z,3197,1800,510
6,2018-03-14T08:59:34.049Z,3172,1795,535
6,2018-03-14T09:13:17.615Z,3205,1595,524
6,2018-03-14T09:13:35.456Z,3182,1600,580
6,2018-03-14T09:27:25.451Z,3207,1640,526
6,2018-03-14T09:27:43.148Z,3187,1662,532
6,2018-03-14T09:41:28.454Z,3180,1610,552
6,2018-03-14T09:41:46.073Z,3162,1585,571
6,2018-03-14T09:55:33.601Z,3177,1615,514
6,2018-03-14T09:55:51.189Z,3155,1632,518
6,2018-03-14T10:09:40.590Z,3175,1629,539
6,2018-03-14T10:09:58.323Z,3152,1640,518
6,2018-03-14T10:23:42.939Z,3157,1595,546
6,2018-03-14T10:24:00.519Z,3147,1575,558
6,2018-03-14T10:37:47.872Z,3150,1535,530
6,2018-03-14T10:38:05.604Z,3125,1577,531
6,2018-03-14T13:12:47.973Z,2960,2134,530
6,2018-03-14T13:13:05.663Z,2922,2112,560
6,2018-03-15T04:48:55.174Z,3127,2812,0
6,2018-03-15T04:49:11.951Z,3040,2805,144
6,2018-03-15T05:02:41.777Z,2952,2990,508
6,2018-03-15T05:02:59.500Z,2910,2987,515
6,2018-03-15T05:16:47.613Z,2897,2942,471
6,2018-03-15T05:17:05.309Z,2862,2925,500
6,2018-03-15T05:30:57.344Z,2857,3037,473
6,2018-03-15T05:31:15.064Z,2825,3022,485
6,2018-03-15T05:45:05.753Z,2877,3010,505
6,2018-03-15T05:45:23.373Z,2860,3000,518
6,2018-03-15T05:59:16.504Z,2900,2995,491
6,2018-03-15T05:59:34.214Z,2890,2997,513
6,2018-03-15T06:13:27.687Z,2925,2977,491
6,2018-03-15T06:13:45.389Z,2917,2984,499
6,2018-03-15T06:27:38.585Z,2947,2967,500
6,2018-03-15T06:27:56.199Z,2930,2952,504
6,2018-03-15T06:41:47.930Z,2990,2912,513
6,2018-03-15T06:42:05.617Z,2957,2880,534
6,2018-03-15T06:55:57.942Z,3017,2937,491
6,2018-03-15T06:56:15.653Z,2997,2920,531
6,2018-03-15T07:10:04.458Z,3002,2792,477
6,2018-03-15T07:11:16.203Z,2992,2797,492
6,2018-03-15T07:11:33.865Z,2975,2782,507
6,2018-03-15T07:25:19.591Z,3092,2510,520
6,2018-03-15T07:25:37.279Z,3077,2490,520
6,2018-03-15T07:39:30.427Z,3087,2752,526
6,2018-03-15T07:39:48.098Z,3067,2767,546
6,2018-03-15T07:53:39.465Z,3130,2657,502
6,2018-03-15T07:53:57.155Z,3105,2620,502
6,2018-03-15T08:07:50.002Z,3130,2617,517
6,2018-03-15T08:08:07.690Z,3117,2577,525
6,2018-03-15T08:21:58.396Z,3132,2532,480
6,2018-03-15T08:22:16.116Z,3115,2522,480
6,2018-03-15T08:36:18.563Z,3160,2302,515
6,2018-03-15T08:36:36.150Z,3137,2274,507
6,2018-03-15T08:50:23.423Z,3117,2207,497
6,2018-03-15T08:50:44.216Z,3084,2235,498
6,2018-03-15T09:04:38.351Z,3127,2180,493
6,2018-03-15T09:04:56.044Z,3112,2162,525
6,2018-03-15T09:18:59.412Z,3155,2035,518
6,2018-03-15T09:32:53.031Z,3147,1902,529
6,2018-03-15T09:33:10.745Z,3132,1912,517
6,2018-03-13T06:54:44.954Z,2980,2935,859
